year,variable,value,type,var
2010,Spain,0.0777842960613511,Increasing_TWS,freshwater_withdraw
2011,Spain,0.0420305314467408,Increasing_TWS,freshwater_withdraw
2012,Spain,-0.0709497191959989,Increasing_TWS,freshwater_withdraw
2013,Spain,-0.36259983082675,Increasing_TWS,freshwater_withdraw
2014,Spain,-0.277878574223635,Increasing_TWS,freshwater_withdraw
2015,Spain,-0.465128900142419,Increasing_TWS,freshwater_withdraw
2016,Spain,-0.518081898016845,Increasing_TWS,freshwater_withdraw
2003,Sweden,0.13826998689384,Increasing_TWS,freshwater_withdraw
2004,Sweden,0.13826998689384,Increasing_TWS,freshwater_withdraw
2005,Sweden,0.035058977719528,Increasing_TWS,freshwater_withdraw
2006,Sweden,0.035058977719528,Increasing_TWS,freshwater_withdraw
2007,Sweden,0.035058977719528,Increasing_TWS,freshwater_withdraw
2008,Sweden,0.172673656618611,Increasing_TWS,freshwater_withdraw
2009,Sweden,0.310288335517693,Increasing_TWS,freshwater_withdraw
2010,Sweden,0.447903014416776,Increasing_TWS,freshwater_withdraw
2011,Sweden,0.247903014416776,Increasing_TWS,freshwater_withdraw
2012,Sweden,0.0479030144167755,Increasing_TWS,freshwater_withdraw
2013,Sweden,-0.152096985583224,Increasing_TWS,freshwater_withdraw
2014,Sweden,-0.352096985583225,Increasing_TWS,freshwater_withdraw
2015,Sweden,-0.552096985583224,Increasing_TWS,freshwater_withdraw
2016,Sweden,-0.552096985583224,Increasing_TWS,freshwater_withdraw
2003,Bosnia.and.Herzegovina,-0.472525621902517,Declining_TWS,freshwater_withdraw
2004,Bosnia.and.Herzegovina,-0.425034884280422,Declining_TWS,freshwater_withdraw
2005,Bosnia.and.Herzegovina,-0.377544146658327,Declining_TWS,freshwater_withdraw
2006,Bosnia.and.Herzegovina,-0.330053409036232,Declining_TWS,freshwater_withdraw
2007,Bosnia.and.Herzegovina,-0.282562671414136,Declining_TWS,freshwater_withdraw
2008,Bosnia.and.Herzegovina,-0.120555261511812,Declining_TWS,freshwater_withdraw
2009,Bosnia.and.Herzegovina,0.041452148390511,Declining_TWS,freshwater_withdraw
2010,Bosnia.and.Herzegovina,0.203459558292835,Declining_TWS,freshwater_withdraw
2011,Bosnia.and.Herzegovina,0.365466968195159,Declining_TWS,freshwater_withdraw
2012,Bosnia.and.Herzegovina,0.527474378097483,Declining_TWS,freshwater_withdraw
2013,Bosnia.and.Herzegovina,0.403526921041235,Declining_TWS,freshwater_withdraw
2014,Bosnia.and.Herzegovina,0.279579463984988,Declining_TWS,freshwater_withdraw
2015,Bosnia.and.Herzegovina,0.15563200692874,Declining_TWS,freshwater_withdraw
2016,Bosnia.and.Herzegovina,0.0316845498724917,Declining_TWS,freshwater_withdraw
2003,Lebanon,-0.409678900039642,Declining_TWS,freshwater_withdraw
2004,Lebanon,-0.401500135617267,Declining_TWS,freshwater_withdraw
2005,Lebanon,-0.393321371194892,Declining_TWS,freshwater_withdraw
2006,Lebanon,-0.385142606772518,Declining_TWS,freshwater_withdraw
2007,Lebanon,-0.376963842350143,Declining_TWS,freshwater_withdraw
2008,Lebanon,-0.246249660956832,Declining_TWS,freshwater_withdraw
2009,Lebanon,-0.115535479563521,Declining_TWS,freshwater_withdraw
2010,Lebanon,0.0151787018297899,Declining_TWS,freshwater_withdraw
2011,Lebanon,0.145892883223101,Declining_TWS,freshwater_withdraw
2012,Lebanon,0.276607064616412,Declining_TWS,freshwater_withdraw
2013,Lebanon,0.355035573452398,Declining_TWS,freshwater_withdraw
2014,Lebanon,0.433464082288385,Declining_TWS,freshwater_withdraw
2015,Lebanon,0.511892591124371,Declining_TWS,freshwater_withdraw
2016,Lebanon,0.590321099960358,Declining_TWS,freshwater_withdraw
2003,Pakistan,-0.439353099730458,Declining_TWS,freshwater_withdraw
2004,Pakistan,-0.373315363881401,Declining_TWS,freshwater_withdraw
2005,Pakistan,-0.307277628032345,Declining_TWS,freshwater_withdraw
2006,Pakistan,-0.241239892183288,Declining_TWS,freshwater_withdraw
2007,Pakistan,-0.175202156334232,Declining_TWS,freshwater_withdraw
2008,Pakistan,-0.118598382749326,Declining_TWS,freshwater_withdraw
2009,Pakistan,-0.0619946091644203,Declining_TWS,freshwater_withdraw
2010,Pakistan,-0.00539083557951463,Declining_TWS,freshwater_withdraw
2011,Pakistan,0.051212938005391,Declining_TWS,freshwater_withdraw
2012,Pakistan,0.107816711590297,Declining_TWS,freshwater_withdraw
2013,Pakistan,0.221024258760108,Declining_TWS,freshwater_withdraw
2014,Pakistan,0.334231805929919,Declining_TWS,freshwater_withdraw
2015,Pakistan,0.447439353099731,Declining_TWS,freshwater_withdraw
2016,Pakistan,0.560646900269542,Declining_TWS,freshwater_withdraw
2003,Tunisia,-0.312588190020097,Declining_TWS,freshwater_withdraw
2004,Tunisia,-0.303608842519348,Declining_TWS,freshwater_withdraw
2005,Tunisia,-0.2946294950186,Declining_TWS,freshwater_withdraw
2006,Tunisia,-0.285650147517852,Declining_TWS,freshwater_withdraw
2007,Tunisia,-0.276670800017104,Declining_TWS,freshwater_withdraw
2008,Tunisia,-0.207649548894685,Declining_TWS,freshwater_withdraw
2009,Tunisia,-0.138628297772267,Declining_TWS,freshwater_withdraw
2010,Tunisia,-0.0696070466498482,Declining_TWS,freshwater_withdraw
2011,Tunisia,-0.000585795527429955,Declining_TWS,freshwater_withdraw
2012,Tunisia,0.0684354555949886,Declining_TWS,freshwater_withdraw
2013,Tunisia,0.223179544191217,Declining_TWS,freshwater_withdraw
2014,Tunisia,0.377923632787446,Declining_TWS,freshwater_withdraw
2015,Tunisia,0.532667721383675,Declining_TWS,freshwater_withdraw
2016,Tunisia,0.687411809979903,Declining_TWS,freshwater_withdraw
2003,Xinjiang,-0.429935407066052,Declining_TWS,freshwater_withdraw
2004,Xinjiang,-0.468645084485407,Declining_TWS,freshwater_withdraw
2005,Xinjiang,-0.346064439324117,Declining_TWS,freshwater_withdraw
2006,Xinjiang,-0.289827880184332,Declining_TWS,freshwater_withdraw
2007,Xinjiang,-0.24670960061444,Declining_TWS,freshwater_withdraw
2008,Xinjiang,-0.134021428571429,Declining_TWS,freshwater_withdraw
2009,Xinjiang,-0.105096697388632,Declining_TWS,freshwater_withdraw
2010,Xinjiang,-0.0600429339477727,Declining_TWS,freshwater_withdraw
2011,Xinjiang,-0.0603020737327189,Declining_TWS,freshwater_withdraw
2012,Xinjiang,0.531354915514593,Declining_TWS,freshwater_withdraw
2013,Xinjiang,0.508774270353303,Declining_TWS,freshwater_withdraw
2014,Xinjiang,0.442107603686636,Declining_TWS,freshwater_withdraw
2015,Xinjiang,0.392645238095238,Declining_TWS,freshwater_withdraw
2016,Xinjiang,0.265763517665131,Declining_TWS,freshwater_withdraw
